Python executable: /burg-archive/home/ss6574/.conda/envs/ot-exp/bin/python
Python version: 3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]
otexp package: /burg-archive/home/ss6574/L1-rates-ot-potentials/src/otexp/__init__.py
Running new_d dimension d=2, task=0
[resume] d=2, n=10000, b=[0, 100): found 5/100 completed trials
[trial] d=2, n=10000, b=6/100, runtime=827.44s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=7/100, runtime=828.12s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=8/100, runtime=828.54s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=9/100, runtime=828.36s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=10/100, runtime=826.84s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=11/100, runtime=824.27s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=12/100, runtime=825.01s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=13/100, runtime=824.48s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=14/100, runtime=824.43s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=15/100, runtime=824.73s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=16/100, runtime=824.53s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=17/100, runtime=824.91s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=18/100, runtime=824.95s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=19/100, runtime=825.16s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=20/100, runtime=824.81s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=21/100, runtime=825.12s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=22/100, runtime=824.68s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=23/100, runtime=824.96s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=24/100, runtime=824.90s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=25/100, runtime=825.66s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=26/100, runtime=830.32s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=27/100, runtime=830.57s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=28/100, runtime=832.89s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=29/100, runtime=831.68s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=30/100, runtime=831.30s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=31/100, runtime=831.87s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=32/100, runtime=830.49s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=33/100, runtime=830.44s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=34/100, runtime=830.64s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=35/100, runtime=830.20s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=36/100, runtime=829.70s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=37/100, runtime=829.83s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=38/100, runtime=829.92s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=39/100, runtime=829.93s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=40/100, runtime=862.75s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=41/100, runtime=880.86s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=42/100, runtime=924.46s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=43/100, runtime=926.45s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=44/100, runtime=931.56s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=45/100, runtime=929.67s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=46/100, runtime=930.00s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=47/100, runtime=927.00s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=48/100, runtime=928.13s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=49/100, runtime=940.91s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=50/100, runtime=939.16s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=51/100, runtime=939.17s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=52/100, runtime=907.70s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=53/100, runtime=864.08s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=54/100, runtime=866.39s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=55/100, runtime=861.67s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=56/100, runtime=868.75s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=57/100, runtime=865.28s, success=False, nit=1000, nfev=1004
[trial] d=2, n=10000, b=58/100, runtime=864.98s, success=False, nit=1000, nfev=1004
