Python executable: /burg-archive/home/ss6574/.conda/envs/ot-exp/bin/python
Python version: 3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]
otexp package: /burg-archive/home/ss6574/L1-rates-ot-potentials/src/otexp/__init__.py
Running new_d dimension d=2, task=0
[trial] d=2, n=100, b=1/100, runtime=1.44s, success=True, nit=119, nfev=129
[trial] d=2, n=100, b=2/100, runtime=0.90s, success=True, nit=75, nfev=81
[trial] d=2, n=100, b=3/100, runtime=1.20s, success=True, nit=102, nfev=109
[trial] d=2, n=100, b=4/100, runtime=1.49s, success=True, nit=131, nfev=139
[trial] d=2, n=100, b=5/100, runtime=1.21s, success=True, nit=107, nfev=111
[trial] d=2, n=100, b=6/100, runtime=1.16s, success=True, nit=101, nfev=106
[trial] d=2, n=100, b=7/100, runtime=1.61s, success=True, nit=140, nfev=149
[trial] d=2, n=100, b=8/100, runtime=1.63s, success=True, nit=143, nfev=151
[trial] d=2, n=100, b=9/100, runtime=1.32s, success=True, nit=114, nfev=122
[trial] d=2, n=100, b=10/100, runtime=1.18s, success=True, nit=104, nfev=109
[trial] d=2, n=100, b=11/100, runtime=2.02s, success=True, nit=177, nfev=193
[trial] d=2, n=100, b=12/100, runtime=1.50s, success=True, nit=133, nfev=142
[trial] d=2, n=100, b=13/100, runtime=1.80s, success=True, nit=163, nfev=172
[trial] d=2, n=100, b=14/100, runtime=1.14s, success=True, nit=104, nfev=108
[trial] d=2, n=100, b=15/100, runtime=1.62s, success=True, nit=146, nfev=155
[trial] d=2, n=100, b=16/100, runtime=1.34s, success=True, nit=126, nfev=131
[trial] d=2, n=100, b=17/100, runtime=1.17s, success=True, nit=107, nfev=114
[trial] d=2, n=100, b=18/100, runtime=1.53s, success=True, nit=137, nfev=143
[trial] d=2, n=100, b=19/100, runtime=1.46s, success=True, nit=127, nfev=135
[trial] d=2, n=100, b=20/100, runtime=1.92s, success=True, nit=169, nfev=181
[trial] d=2, n=100, b=21/100, runtime=1.06s, success=True, nit=95, nfev=101
[trial] d=2, n=100, b=22/100, runtime=1.43s, success=True, nit=132, nfev=140
[trial] d=2, n=100, b=23/100, runtime=1.40s, success=True, nit=129, nfev=136
[trial] d=2, n=100, b=24/100, runtime=1.48s, success=True, nit=131, nfev=142
[trial] d=2, n=100, b=25/100, runtime=1.42s, success=True, nit=127, nfev=136
[trial] d=2, n=100, b=26/100, runtime=1.30s, success=True, nit=115, nfev=124
[trial] d=2, n=100, b=27/100, runtime=1.44s, success=True, nit=130, nfev=137
[trial] d=2, n=100, b=28/100, runtime=0.93s, success=True, nit=85, nfev=88
[trial] d=2, n=100, b=29/100, runtime=1.55s, success=True, nit=139, nfev=148
[trial] d=2, n=100, b=30/100, runtime=1.60s, success=True, nit=139, nfev=153
[trial] d=2, n=100, b=31/100, runtime=1.82s, success=True, nit=164, nfev=175
[trial] d=2, n=100, b=32/100, runtime=1.19s, success=True, nit=109, nfev=119
[trial] d=2, n=100, b=33/100, runtime=1.09s, success=True, nit=97, nfev=102
[trial] d=2, n=100, b=34/100, runtime=1.20s, success=True, nit=99, nfev=108
[trial] d=2, n=100, b=35/100, runtime=1.58s, success=True, nit=138, nfev=149
[trial] d=2, n=100, b=36/100, runtime=1.70s, success=True, nit=147, nfev=161
[trial] d=2, n=100, b=37/100, runtime=1.13s, success=True, nit=97, nfev=108
[trial] d=2, n=100, b=38/100, runtime=1.40s, success=True, nit=128, nfev=136
[trial] d=2, n=100, b=39/100, runtime=1.50s, success=True, nit=133, nfev=144
[trial] d=2, n=100, b=40/100, runtime=1.82s, success=True, nit=162, nfev=173
[trial] d=2, n=100, b=41/100, runtime=1.45s, success=True, nit=130, nfev=137
[trial] d=2, n=100, b=42/100, runtime=1.37s, success=True, nit=123, nfev=129
