Saved aggregated summary to results/summary/aggregated.csv
 d    n  mean_loss  std_loss   B       beta  se_loss  mean_loss_over_beta
 2   10   0.104449  0.041899 100   0.316228 0.004190             0.330298
 2   30   0.063654  0.023474 100   0.182574 0.002347             0.348645
 2  100   0.036448  0.015179 100   0.100000 0.001518             0.364484
 2  300   0.021626  0.008530 100   0.057735 0.000853             0.374577
 2 1000   0.010899  0.004403 100   0.031623 0.000440             0.344655
 2 3000   0.003393  0.001956 100   0.018257 0.000196             0.185833
 2 5000   0.001457  0.000510 100   0.014142 0.000051             0.102992
 3   10   0.114503  0.031533 100   0.316228 0.003153             0.362089
 3   30   0.067759  0.019288 100   0.182574 0.001929             0.371134
 3  100   0.039279  0.010178 100   0.100000 0.001018             0.392787
 3  300   0.022751  0.005688 100   0.057735 0.000569             0.394056
 3 1000   0.012410  0.003013 100   0.031623 0.000301             0.392430
 3 3000   0.005082  0.001226 100   0.018257 0.000123             0.278366
 3 5000   0.003472  0.000646 100   0.014142 0.000065             0.245502
 4   10   0.117136  0.020623 100   2.544130 0.002062             0.046042
 4   30   0.072627  0.014519 100   3.895103 0.001452             0.018646
 4  100   0.043451  0.007672 100   4.551077 0.000767             0.009547
 4  300   0.026961  0.005049 100   4.485871 0.000505             0.006010
 4 1000   0.014955  0.002233 100   3.965905 0.000223             0.003771
 4 3000   0.007581  0.000782 100   3.311526 0.000078             0.002289
 4 5000   0.005770  0.000425 100   2.994031 0.000042             0.001927
 6   10   0.121118  0.012839 100   2.460923 0.001284             0.049216
 6   30   0.080766  0.007172 100   3.722973 0.000717             0.021694
 6  100   0.051816  0.004415 100   4.569037 0.000442             0.011341
 6  300   0.033780  0.002101 100   4.859805 0.000210             0.006951
 6 1000   0.021299  0.001021 100   4.771708 0.000102             0.004464
 6 3000   0.014229  0.000431 100   4.444579 0.000043             0.003201
 6 5000   0.011374  0.000250 100   4.242316 0.000025             0.002681
 8   10   0.117208  0.011262 100   4.524173 0.001126             0.025907
 8   30   0.083017  0.005929 100   9.115894 0.000593             0.009107
 8  100   0.056283  0.002696 100  14.391770 0.000270             0.003911
 8  300   0.039989  0.001210 100  18.669259 0.000121             0.002142
 8 1000   0.028005  0.000715 100  22.301925 0.000071             0.001256
 8 3000   0.020354  0.000285 100  24.508035 0.000029             0.000830
 8 5000   0.016862  0.000244 100  25.176696 0.000024             0.000670
10   10   0.112822  0.008216 100   7.702772 0.000822             0.014647
10   30   0.082768  0.004458 100  19.928346 0.000446             0.004153
10  100   0.059078  0.001997 100  38.880967 0.000200             0.001519
10  300   0.044101  0.000861 100  59.301354 0.000086             0.000744
10 1000   0.032640  0.000515 100  82.796281 0.000052             0.000394
10 3000   0.024929  0.000290 100 103.486172 0.000029             0.000241
10 5000   0.020997  0.000221 100 112.485228 0.000022             0.000187
Saved results/figs/loglog_ot_potential_unit_ball_grid_new_d.pdf
