Saved aggregated summary to results/summary/aggregated.csv
 d     n  mean_loss  std_loss   B       beta  se_loss  mean_loss_over_beta
 2   100   0.036461  0.015169 100   0.100000 0.001517             0.364612
 2   300   0.021589  0.008507 100   0.057735 0.000851             0.373930
 2  1000   0.011324  0.004108 100   0.031623 0.000411             0.358095
 2  3000   0.006809  0.003231 100   0.018257 0.000323             0.372946
 2 10000   0.002158  0.001494  95   0.010000 0.000153             0.215773
 3   100   0.039297  0.010227 100   0.100000 0.001023             0.392967
 3   300   0.022787  0.005697 100   0.057735 0.000570             0.394680
 3  1000   0.012565  0.002950 100   0.031623 0.000295             0.397339
 3  3000   0.006859  0.001699 100   0.018257 0.000170             0.375682
 3 10000   0.003344  0.000896 100   0.010000 0.000090             0.334401
 4   100   0.043361  0.007708 100   4.551077 0.000771             0.009528
 4   300   0.026907  0.005032 100   4.485871 0.000503             0.005998
 4  1000   0.015038  0.002234 100   3.965905 0.000223             0.003792
 4  3000   0.008565  0.001099 100   3.311526 0.000110             0.002586
 4 10000   0.004558  0.000399 100   2.574478 0.000040             0.001770
 6   100   0.051664  0.004415 100   4.569037 0.000441             0.011307
 6   300   0.033608  0.002150 100   4.859805 0.000215             0.006915
 6  1000   0.021112  0.001052 100   4.771708 0.000105             0.004424
 6  3000   0.014459  0.000564 100   4.444579 0.000056             0.003253
 6 10000   0.008927  0.000170 100   3.937477 0.000017             0.002267
 8   100   0.056221  0.002694 100  14.391770 0.000269             0.003906
 8   300   0.039704  0.001155 100  18.669259 0.000116             0.002127
 8  1000   0.027705  0.000711 100  22.301925 0.000071             0.001242
 8  3000   0.020316  0.000255 100  24.508035 0.000025             0.000829
 8 10000   0.013720  0.000139 100  25.744781 0.000014             0.000533
10   100   0.058923  0.002017 100  38.880967 0.000202             0.001515
10   300   0.043845  0.000813 100  59.301354 0.000081             0.000739
10  1000   0.032402  0.000496 100  82.796281 0.000050             0.000391
10  3000   0.025179  0.000221 100 103.486172 0.000022             0.000243
10 10000   0.017814  0.000165 100 123.830333 0.000017             0.000144
Saved results/figs/loglog_ot_potential_unit_ball_grid_reference_added.pdf
