Using 24 split-evaluation trial CSV files from results/raw
Saved aggregated summary to results/summary/aggregated.csv
 d    n  mean_loss  std_loss   B       beta  se_loss  mean_loss_over_beta
 2  100   0.036461  0.015168 100   0.100000 0.001517             0.364606
 2  300   0.021587  0.008507 100   0.057735 0.000851             0.373890
 2 1000   0.011323  0.004108 100   0.031623 0.000411             0.358060
 2 3000   0.006808  0.003231 100   0.018257 0.000323             0.372885
 3  100   0.039278  0.010236 100   0.100000 0.001024             0.392781
 3  300   0.022764  0.005708 100   0.057735 0.000571             0.394289
 3 1000   0.012540  0.002959 100   0.031623 0.000296             0.396560
 3 3000   0.006827  0.001702 100   0.018257 0.000170             0.373927
 4  100   0.043334  0.007742 100   4.551077 0.000774             0.009522
 4  300   0.026846  0.005029 100   4.485871 0.000503             0.005985
 4 1000   0.014963  0.002247 100   3.965905 0.000225             0.003773
 4 3000   0.008473  0.001112 100   3.311526 0.000111             0.002559
 6  100   0.051584  0.004471 100   4.569037 0.000447             0.011290
 6  300   0.033480  0.002173 100   4.859805 0.000217             0.006889
 6 1000   0.020967  0.001041 100   4.771708 0.000104             0.004394
 6 3000   0.014300  0.000573 100   4.444579 0.000057             0.003217
 8  100   0.056168  0.002673 100  14.391770 0.000267             0.003903
 8  300   0.039524  0.001135 100  18.669259 0.000114             0.002117
 8 1000   0.027528  0.000690 100  22.301925 0.000069             0.001234
 8 3000   0.020072  0.000268 100  24.508035 0.000027             0.000819
10  100   0.058898  0.002054 100  38.880967 0.000205             0.001515
10  300   0.043696  0.000834 100  59.301354 0.000083             0.000737
10 1000   0.032208  0.000500 100  82.796281 0.000050             0.000389
10 3000   0.024946  0.000235 100 103.486172 0.000023             0.000241
Using 24 split-evaluation trial CSV files from results/raw
Saved results/figs/loglog_ot_potential_unit_ball_grid_reference_adde_eval_split.pdf
