d,n,mean_loss,std_loss,B,beta,se_loss,mean_loss_over_beta
2,100,0.036461174922852516,0.015169379265340205,100,0.1,0.0015169379265340204,0.36461174922852513
2,300,0.021588875948862732,0.008506521745100686,100,0.057735026918962505,0.0008506521745100685,0.37393030021732054
2,1000,0.01132396502636354,0.004107827525911809,100,0.0316227766016837,0.00041078275259118094,0.3580952162739756
2,3000,0.006809039229969994,0.0032306754425784298,100,0.0182574185835055,0.00032306754425784297,0.37294643811921796
2,10000,0.0021577267386153442,0.0014944772289657154,95,0.01,0.00015333012846030324,0.21577267386153443
3,100,0.03929673824767091,0.010226618371694748,100,0.1,0.0010226618371694748,0.3929673824767091
3,300,0.022786837465727044,0.005696982675891799,100,0.057735026918962505,0.0005696982675891799,0.39467960234453325
3,1000,0.012564977977387981,0.0029501532546258205,100,0.0316227766016837,0.00029501532546258205,0.39733949158401793
3,3000,0.0068589907122311895,0.0016988189397485096,100,0.0182574185835055,0.00016988189397485097,0.3756823934807456
3,10000,0.0033440137221224632,0.0008964063935984995,100,0.01,8.964063935984995e-05,0.3344013722122463
4,100,0.04336124529089805,0.007708350034119834,100,4.551077287973732,0.0007708350034119834,0.009527688181758762
4,300,0.026906861765622004,0.005032097406536236,100,4.485870776296573,0.0005032097406536236,0.005998135726021886
4,1000,0.01503796025929794,0.0022340684023532857,100,3.9659054723156415,0.00022340684023532857,0.003791810058074195
4,3000,0.008565012153488477,0.0010990083104458052,100,3.3115261107167453,0.00010990083104458052,0.0025864244662817015
4,10000,0.004557805610719354,0.00039943378139344,100,2.5744780896242463,3.9943378139344e-05,0.0017703804235461881
6,100,0.051664025205870344,0.004414855350526285,100,4.569037284891665,0.0004414855350526285,0.01130742035673612
6,300,0.03360754482082838,0.0021498604585765304,100,4.859804781674094,0.00021498604585765303,0.006915410460016736
6,1000,0.021112111053308732,0.0010522271158065013,100,4.771708299430558,0.00010522271158065013,0.0044244345480691245
6,3000,0.014459021375999694,0.0005642046725631174,100,4.444579006853767,5.642046725631174e-05,0.003253181314518911
6,10000,0.008927374511700092,0.00016988611750493767,100,3.937476970647877,1.698861175049377e-05,0.0022672829779703248
8,100,0.05622114991880463,0.0026941828452674977,100,14.391770037459024,0.00026941828452674976,0.0039064791733380766
8,300,0.03970360443173078,0.0011553147643485842,100,18.66925864388705,0.00011553147643485842,0.0021266835062425517
8,1000,0.027705489935033203,0.0007105680914801766,100,22.301925388816358,7.105680914801766e-05,0.001242291391976701
8,3000,0.020315787873720542,0.0002549802597912606,100,24.508035311686783,2.549802597912606e-05,0.0008289439612498377
8,10000,0.013720162499096085,0.00013884385354213013,100,25.744780896242464,1.3884385354213013e-05,0.0005329298607897101
10,100,0.05892299301431143,0.0020169696477867374,100,38.880966593458986,0.00020169696477867374,0.001515471403538207
10,300,0.04384459325794797,0.0008134763279749681,100,59.301354396743655,8.134763279749681e-05,0.0007393523082898687
10,1000,0.03240154926254466,0.0004962284931424536,100,82.79628108513292,4.962284931424536e-05,0.00039134063556826534
10,3000,0.02517851469740619,0.00022112140060147722,100,103.4861719660989,2.2112140060147722e-05,0.00024330317972969797
10,10000,0.017813856004985976,0.00016523887626538873,100,123.83033279125604,1.6523887626538874e-05,0.00014385696624925694
