scenario,alternative,theta,replicate,seed,reject,T,centered_l1,success,status,message,nit,fun,grad_inf,critical_value,runtime_seconds,error_message
null,null,0.0,0,302026,False,0.42637196561516594,0.013483065417869197,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2933349326737918,0.00039999999999999996,0.587476198675121,8.01841688156128,
location_shift,Y = X + theta e1,0.1,0,402026,True,1.4548671296973361,0.04600693822755178,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2872819238888671,0.00039999999999999996,0.587476198675121,7.964426755905151,
location_shift,Y = X + theta e1,0.25,0,402027,True,2.840744417906161,0.0898322261099268,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.26452760715691553,0.00019999999999999998,0.587476198675121,7.972042798995972,
location_shift,Y = X + theta e1,0.5,0,402028,True,5.832251925053719,0.18443199971071403,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.17410766114008572,0.00039999999999999996,0.587476198675121,8.119518756866455,
scale,Y = (1 + theta) X,0.1,0,402029,True,0.6115522629809999,0.019338980592502338,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.289632596539192,0.00019999999999999998,0.587476198675121,7.96376895904541,
scale,Y = (1 + theta) X,0.25,0,402030,True,1.0219524188060924,0.032316973037455454,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2726020973260662,0.0004000000000000001,0.587476198675121,7.953471660614014,
scale,Y = (1 + theta) X,0.5,0,402031,True,1.925932193968299,0.060903323519850255,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.20851655937541455,0.00019999999999999998,0.587476198675121,7.927203416824341,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,0,402032,True,0.7546333449039639,0.023863601682079447,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2905372550615013,0.0004000000000000001,0.587476198675121,7.965979814529419,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,0,402033,True,1.4080037074176113,0.04452498669400967,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.28518307289997336,0.00019999999999999998,0.587476198675121,7.976758241653442,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,0,402034,True,3.3733785241785545,0.1066755954630162,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.25224116823417264,0.00039999999999999996,0.587476198675121,7.964594841003418,
null,null,0.0,1,302027,False,0.5198669167252666,0.01643963537020926,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29289910073517755,0.00019999999999999998,0.587476198675121,7.95937180519104,
location_shift,Y = X + theta e1,0.1,1,402035,True,1.4050985831123017,0.04443311859710275,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.28706932402888957,0.0004000000000000001,0.587476198675121,7.961203098297119,
location_shift,Y = X + theta e1,0.25,1,402036,True,3.075444061171734,0.0972540804974089,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.26051051171729894,0.00039999999999999996,0.587476198675121,7.959045648574829,
location_shift,Y = X + theta e1,0.5,1,402037,True,5.640025498737187,0.1783532663743663,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.1786693936193845,0.00039999999999999996,0.587476198675121,8.511133193969727,
scale,Y = (1 + theta) X,0.1,1,402038,False,0.4323933578918198,0.013673478560664927,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29057883533005036,0.00019999999999999998,0.587476198675121,7.961668252944946,
scale,Y = (1 + theta) X,0.25,1,402039,True,0.89516883317014,0.028307724032129285,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2749973517528483,0.0004000000000000001,0.587476198675121,8.016064167022705,
scale,Y = (1 + theta) X,0.5,1,402040,True,1.7725488611627838,0.056052916652119734,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.21564093782458418,0.00039999999999999996,0.587476198675121,7.929755926132202,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,1,402041,True,0.6291090827080602,0.0198941759805672,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29156855247848357,0.00039999999999999996,0.587476198675121,7.9589080810546875,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,1,402042,True,1.3912966945326994,0.04399666455786865,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2850572341230841,0.0004000000000000001,0.587476198675121,8.01370358467102,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,1,402043,True,2.9284887144731973,0.09260694439833808,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.25954310272110925,0.00039999999999999996,0.587476198675121,7.964385032653809,
null,null,0.0,2,302028,False,0.2936412952795366,0.009285753081653851,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29347115369468973,0.00019999999999999998,0.587476198675121,7.957009315490723,
