n,n_eval_source,n_solve,base_seed,null_name,scenario,statistic,num_rows,mean_runtime_seconds,median_runtime_seconds,max_runtime_seconds,success_rate
1000,5000,5000,2026,truncated_elliptical_t,calibration,mmd,1000,34.86852602505684,34.75633370876312,57.73887586593628,1.0
1000,5000,5000,2026,truncated_elliptical_t,calibration,potential,1000,34.868514815092084,34.75632357597351,57.738863468170166,0.81
1000,5000,5000,2026,truncated_elliptical_t,calibration,w2,1000,34.868523093938826,34.75633108615875,57.73887300491333,0.81
1000,5000,5000,2026,truncated_elliptical_t,power,mmd,18000,35.63734633902709,34.663161516189575,107.66183757781982,1.0
1000,5000,5000,2026,truncated_elliptical_t,power,potential,18000,35.63733435093032,34.66315138339996,107.6618218421936,1.0
1000,5000,5000,2026,truncated_elliptical_t,power,w2,18000,35.6373434005181,34.663158655166626,107.66183423995972,1.0
1000,5000,5000,2026,truncated_elliptical_t,size,mmd,1000,34.04869657230377,33.49564850330353,75.72877478599548,1.0
1000,5000,5000,2026,truncated_elliptical_t,size,potential,1000,34.04868598914146,33.495635986328125,75.72876501083374,1.0
1000,5000,5000,2026,truncated_elliptical_t,size,w2,1000,34.04869360733032,33.49564564228058,75.72877216339111,1.0
1000,5000,5000,2026,truncated_gaussian,calibration,mmd,1000,26.918055594205857,25.68050789833069,69.84773850440979,1.0
1000,5000,5000,2026,truncated_gaussian,calibration,potential,1000,26.9180363612175,25.680498242378235,69.84772729873657,0.987
1000,5000,5000,2026,truncated_gaussian,calibration,w2,1000,26.918052660942077,25.68050515651703,69.84773588180542,0.987
1000,5000,5000,2026,truncated_gaussian,power,mmd,18000,27.609004130509163,26.903411507606506,76.60588073730469,1.0
1000,5000,5000,2026,truncated_gaussian,power,potential,18000,27.608992757995924,26.903398990631104,76.60586833953857,1.0
1000,5000,5000,2026,truncated_gaussian,power,w2,18000,27.609001204053563,26.903408408164978,76.60587739944458,1.0
1000,5000,5000,2026,truncated_gaussian,size,mmd,1000,24.654120085477828,24.16484785079956,51.64418601989746,1.0
1000,5000,5000,2026,truncated_gaussian,size,potential,1000,24.65410927438736,24.164837956428528,51.64417552947998,1.0
1000,5000,5000,2026,truncated_gaussian,size,w2,1000,24.65411710834503,24.164845108985904,51.64418339729309,1.0
1000,5000,5000,2026,uniform_ball,calibration,mmd,1000,23.227734104156493,22.32895004749298,56.61583971977234,1.0
1000,5000,5000,2026,uniform_ball,calibration,potential,1000,23.227723043441774,22.328938961029053,56.6158242225647,0.998
1000,5000,5000,2026,uniform_ball,calibration,w2,1000,23.227731192827225,22.32894718647003,56.61583638191223,0.998
1000,5000,5000,2026,uniform_ball,power,mmd,18000,23.505817338466645,22.91965901851654,57.744545459747314,1.0
1000,5000,5000,2026,uniform_ball,power,potential,18000,23.505806665645704,22.919647693634033,57.74453496932984,1.0
1000,5000,5000,2026,uniform_ball,power,w2,18000,23.505814477099314,22.9196560382843,57.744542837142944,1.0
1000,5000,5000,2026,uniform_ball,size,mmd,1000,21.79879371738434,21.44358718395233,43.81857132911682,1.0
1000,5000,5000,2026,uniform_ball,size,potential,1000,21.79878325653076,21.44357693195343,43.81856203079224,1.0
1000,5000,5000,2026,uniform_ball,size,w2,1000,21.798790843248366,21.443584322929382,43.81856894493103,1.0
