quantity,null_name,scenario,alt_type,level,statistic,estimate,mc_se,num_replicates,alpha,critical_value,success_rate,error_rate,mean_value,median_value,n,n_eval_source,n_solve,base_seed
empirical size,truncated_elliptical_t,size,,0.0,mmd,0.057,0.007331507348424334,1000,0.05,0.0021432657040978,1.0,0.0,2.1313092007012778e-05,-0.00020720326490985,200,5000,10000,2026
empirical size,truncated_elliptical_t,size,,0.0,potential,0.042,0.0063431853196954605,1000,0.05,2.440656658478689,1.0,0.0,1.4602103891108311,1.343015880364852,200,5000,10000,2026
empirical size,truncated_elliptical_t,size,,0.0,w2,0.058,0.007391616873188166,1000,0.05,0.1704731489265852,1.0,0.0,0.14631835818546668,0.1441738366793599,200,5000,10000,2026
empirical size,truncated_gaussian,size,,0.0,mmd,0.04,0.0061967733539318665,1000,0.05,0.0021256478738,1.0,0.0,3.93189474812344e-06,-0.00017814358119965,200,5000,10000,2026
empirical size,truncated_gaussian,size,,0.0,potential,0.042,0.0063431853196954605,1000,0.05,1.688990786497146,1.0,0.0,1.1698178372113313,1.1272871940353006,200,5000,10000,2026
empirical size,truncated_gaussian,size,,0.0,w2,0.041,0.006270486424512854,1000,0.05,0.1574849867624503,1.0,0.0,0.1378337314908047,0.1365355536363325,200,5000,10000,2026
empirical size,uniform_ball,size,,0.0,mmd,0.043,0.006414904519944158,1000,0.05,0.0021893522621525,1.0,0.0,-0.00010211712333747577,-0.00031756812598045,200,5000,10000,2026
empirical size,uniform_ball,size,,0.0,potential,0.037,0.005969170796685248,1000,0.05,0.603399609297404,1.0,0.0,0.3901121049229626,0.37120293230904805,200,5000,10000,2026
empirical size,uniform_ball,size,,0.0,w2,0.034,0.005730968504537431,1000,0.05,0.0459034698893104,1.0,0.0,0.038810674896480636,0.0383007355199451,200,5000,10000,2026
empirical size,truncated_elliptical_t,size,,0.0,mmd,0.059,0.007451107300260815,1000,0.05,0.0004860741680616,1.0,0.0,5.2930752397006486e-06,-5.586879475416584e-05,1000,5000,5000,2026
empirical size,truncated_elliptical_t,size,,0.0,potential,0.055,0.00720936890441875,1000,0.05,3.156159262212836,1.0,0.0,1.7714458865659808,1.5897128042968434,1000,5000,5000,2026
empirical size,truncated_elliptical_t,size,,0.0,w2,0.056,0.007270763371201128,1000,0.05,0.0625430442876067,1.0,0.0,0.05480497611170023,0.053888339335986954,1000,5000,5000,2026
empirical size,truncated_gaussian,size,,0.0,mmd,0.04,0.0061967733539318665,1000,0.05,0.0004331808497901,1.0,0.0,-3.3799882798883704e-05,-8.385769726482195e-05,1000,5000,5000,2026
empirical size,truncated_gaussian,size,,0.0,potential,0.062,0.007626008130076967,1000,0.05,1.9801363445849376,1.0,0.0,1.401365997130417,1.3710321695830063,1000,5000,5000,2026
empirical size,truncated_gaussian,size,,0.0,w2,0.055,0.00720936890441875,1000,0.05,0.0572042510027439,1.0,0.0,0.05203550808378639,0.0517003958511177,1000,5000,5000,2026
empirical size,uniform_ball,size,,0.0,mmd,0.051,0.00695693898205238,1000,0.05,0.000342243919253,1.0,0.0,-8.52010500683686e-05,-0.00013461985905129998,1000,5000,5000,2026
empirical size,uniform_ball,size,,0.0,potential,0.049,0.006826346021115542,1000,0.05,0.6061410082729104,1.0,0.0,0.40300836559785397,0.38436987151624946,1000,5000,5000,2026
empirical size,uniform_ball,size,,0.0,w2,0.052,0.007021111023192838,1000,0.05,0.0147685468406878,1.0,0.0,0.013384567526938403,0.0132967658690251,1000,5000,5000,2026
