quantity,scenario,alternative,theta,estimate,mc_se,n_eval,alpha,critical_value,calibration_B,mean_T,median_T,success_rate,error_rate
empirical size,null,null,0.0,0.07,0.02551470164434615,100,0.05,0.587476198675121,1000,0.4194189565228411,0.41085228053136946,0.0,0.0
empirical power,location_shift,Y = X + theta e1,0.1,1.0,0.0,100,0.05,0.587476198675121,1000,1.237334281565133,1.2248563750042663,0.0,0.0
empirical power,location_shift,Y = X + theta e1,0.25,1.0,0.0,100,0.05,0.587476198675121,1000,3.0243108583670186,3.0188859428667287,0.0,0.0
empirical power,location_shift,Y = X + theta e1,0.5,1.0,0.0,100,0.05,0.587476198675121,1000,5.94084077758456,5.9553606578006075,0.0,0.0
empirical power,scale,Y = (1 + theta) X,0.1,0.27,0.044395945760846225,100,0.05,0.587476198675121,1000,0.56015579762082,0.5416353820327351,0.0,0.0
empirical power,scale,Y = (1 + theta) X,0.25,1.0,0.0,100,0.05,0.587476198675121,1000,1.0102979680590802,1.0105607537557935,0.0,0.0
empirical power,scale,Y = (1 + theta) X,0.5,1.0,0.0,100,0.05,0.587476198675121,1000,1.8218578462061128,1.8152230070001651,0.0,0.0
empirical power,mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,0.72,0.0448998886412873,100,0.05,0.587476198675121,1000,0.6961465049693643,0.6848727576386024,0.0,0.0
empirical power,mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,1.0,0.0,100,0.05,0.587476198675121,1000,1.486006917033406,1.480130953736147,0.0,0.0
empirical power,mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,1.0,0.0,100,0.05,0.587476198675121,1000,2.973380519372232,2.9689752364284727,0.0,0.0
