null_name,alt_type,level,left_statistic,right_statistic,estimate,mc_se,num_pairs,n,n_eval_source,n_solve,base_seed
uniform_ball,location_shift,0.05,potential,w2,-1.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.05,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.05,w2,mmd,1.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.1,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.1,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.1,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.15,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.15,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.15,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.2,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.2,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.2,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.25,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.25,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.25,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.3,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.3,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,location_shift,0.3,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.01,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.01,potential,mmd,1.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.01,w2,mmd,1.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.02,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.02,potential,mmd,1.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.02,w2,mmd,1.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.05,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.05,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.05,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.1,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.1,potential,mmd,-1.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.1,w2,mmd,-1.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.15,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.15,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.15,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.2,potential,w2,-1.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.2,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,mixture_contamination,0.2,w2,mmd,1.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.025,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.025,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.025,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.05,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.05,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.05,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.075,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.075,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.075,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.1,potential,w2,-1.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.1,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.1,w2,mmd,1.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.15,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.15,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.15,w2,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.2,potential,w2,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.2,potential,mmd,0.0,0.0,1,4,16,16,2033
uniform_ball,scale,1.2,w2,mmd,0.0,0.0,1,4,16,16,2033
