quantity,null_name,scenario,alt_type,level,statistic,estimate,mc_se,num_replicates,critical_value,success_rate,error_rate,mean_value,median_value,n,n_eval_source,n_solve,base_seed
empirical power,uniform_ball,power,location_shift,0.05,mmd,0.0,0.0,1,-0.0370901624143036,1.0,0.0,-0.0726985779735303,-0.0726985779735303,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.05,potential,0.0,0.0,1,0.3280336727174123,1.0,0.0,0.3156563843768279,0.3156563843768279,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.05,w2,1.0,0.0,1,0.4780765779676139,1.0,0.0,0.5952132197889894,0.5952132197889894,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.1,mmd,1.0,0.0,1,-0.0370901624143036,1.0,0.0,0.0464027891437814,0.0464027891437814,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.1,potential,1.0,0.0,1,0.3280336727174123,1.0,0.0,0.4747152801841199,0.4747152801841199,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.1,w2,1.0,0.0,1,0.4780765779676139,1.0,0.0,0.7540137261190729,0.7540137261190729,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.15,mmd,1.0,0.0,1,-0.0370901624143036,1.0,0.0,0.0370568420416095,0.0370568420416095,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.15,potential,1.0,0.0,1,0.3280336727174123,1.0,0.0,0.4194601333149097,0.4194601333149097,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.15,w2,1.0,0.0,1,0.4780765779676139,1.0,0.0,0.5962230390395789,0.5962230390395789,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.2,mmd,1.0,0.0,1,-0.0370901624143036,1.0,0.0,0.0513038535541687,0.0513038535541687,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.2,potential,1.0,0.0,1,0.3280336727174123,0.0,0.0,0.50965615280294,0.50965615280294,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.2,w2,1.0,0.0,1,0.4780765779676139,0.0,0.0,0.7209794072176381,0.7209794072176381,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.25,mmd,0.0,0.0,1,-0.0370901624143036,1.0,0.0,-0.0870091603480289,-0.0870091603480289,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.25,potential,0.0,0.0,1,0.3280336727174123,1.0,0.0,0.2439180594428966,0.2439180594428966,4,16,16,2033
empirical power,uniform_ball,power,location_shift,0.25,w2,0.0,0.0,1,0.4780765779676139,1.0,0.0,0.3990655599524385,0.3990655599524385,4,16,16,2033
