d,n,b,seed,loss,success,status,message,nit,fun,grad_inf,beta,runtime_seconds,error_message
4,64,0,4642026,0.044746106473682476,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,30,0.2612734407582722,0.001953125,4.409118707575547,0.012562990188598633,
4,64,1,4642027,0.057049760360887686,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,30,0.2547061258248252,0.00390625,4.409118707575547,0.011755943298339844,
4,64,2,4642028,0.03847035102495214,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,30,0.2620123908558497,0.001953125,4.409118707575547,0.01117396354675293,
4,64,3,4642029,0.038049667716034415,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,30,0.26385924571109765,0.00390625,4.409118707575547,0.011126995086669922,
4,64,4,4642030,0.057053346313630286,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,30,0.2518984782107433,0.001953125,4.409118707575547,0.011137008666992188,
4,64,5,4642031,0.05247949765477841,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,30,0.25700907986030685,0.00390625,4.409118707575547,0.010847091674804688,
4,64,6,4642032,0.05606577368773434,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,30,0.25433932560289685,0.001953125,4.409118707575547,0.011016845703125,
4,64,7,4642033,0.059598508331357936,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,30,0.259350455908912,0.001953125,4.409118707575547,0.011773347854614258,
4,64,8,4642034,0.05134368742647598,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,30,0.2553565703106896,0.001953125,4.409118707575547,0.010916948318481445,
4,64,9,4642035,0.06298018241040315,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,30,0.24994621934812927,0.001953125,4.409118707575547,0.010838031768798828,
